,coords_str,lat,lon,distance_to_center,p,q,r,dl_done,asian,european,fast,night_life,other,sweet,all
536,19_-16_-3,48.850034688774464,2.376444959482563,3064,19,-16,-3,1.0,6.0,17.0,10.0,14.0,4.0,0.0,52.0
537,18_-16_-2,48.84952197252634,2.375095224772954,2959,18,-16,-2,1.0,2.0,16.0,6.0,12.0,2.0,0.0,39.0
538,17_-16_-1,48.84900925627822,2.373745490063345,2861,17,-16,-1,1.0,0.0,5.0,2.0,4.0,0.0,0.0,12.0
539,16_-16_0,48.8484965400301,2.372395755353737,2771,16,-16,0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,9.0
540,15_-16_1,48.847983823781995,2.3710460206441284,2688,15,-16,1,1.0,3.0,9.0,4.0,2.0,2.0,2.0,23.0
541,14_-16_2,48.847471107533856,2.36969628593452,2615,14,-16,2,1.0,2.0,7.0,3.0,3.0,1.0,2.0,19.0
542,13_-16_3,48.84695839128575,2.368346551224912,2551,13,-16,3,1.0,1.0,3.0,2.0,2.0,0.0,1.0,10.0
543,12_-16_4,48.84644567503763,2.3669968165153032,2497,12,-16,4,1.0,0.0,2.0,2.0,2.0,0.0,1.0,8.0
544,11_-16_5,48.84593295878951,2.3656470818056943,2455,11,-16,5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0
545,10_-16_6,48.84542024254139,2.3642973470960857,2424,10,-16,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
546,9_-16_7,48.84490752629328,2.362947612386477,2406,9,-16,7,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
547,8_-16_8,48.84439481004516,2.3615978776768687,2399,8,-16,8,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
548,7_-16_9,48.843882093797035,2.36024814296726,2406,7,-16,9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
549,6_-16_10,48.84336937754893,2.3588984082576507,2424,6,-16,10,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
550,5_-16_11,48.84285666130079,2.3575486735480427,2455,5,-16,11,1.0,0.0,3.0,0.0,0.0,1.0,0.0,5.0
551,4_-16_12,48.84234394505268,2.356198938838434,2497,4,-16,12,1.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0
552,3_-16_13,48.84183122880457,2.3548492041288256,2551,3,-16,13,1.0,1.0,3.0,0.0,0.0,2.0,0.0,7.0
553,2_-16_14,48.841318512556455,2.3534994694192166,2615,2,-16,14,1.0,2.0,3.0,2.0,0.0,1.0,0.0,9.0
554,1_-16_15,48.84080579630832,2.3521497347096085,2688,1,-16,15,1.0,2.0,2.0,6.0,0.0,1.0,1.0,13.0
555,0_-16_16,48.84029308006021,2.3508,2771,0,-16,16,1.0,3.0,3.0,7.0,1.0,1.0,1.0,17.0
556,-1_-16_17,48.8397803638121,2.3494502652903915,2861,-1,-16,17,1.0,2.0,3.0,6.0,1.0,1.0,1.0,15.0
557,-2_-16_18,48.83926764756397,2.3481005305807834,2959,-2,-16,18,1.0,2.0,2.0,5.0,1.0,1.0,2.0,14.0
558,-3_-16_19,48.83875493131586,2.3467507958711744,3064,-3,-16,19,1.0,2.0,3.0,4.0,2.0,2.0,1.0,15.0
559,-4_-16_20,48.83824221506774,2.345401061161566,3174,-4,-16,20,1.0,1.0,2.0,3.0,2.0,1.0,1.0,11.0
560,-5_-16_21,48.83772949881962,2.3440513264519574,3290,-5,-16,21,1.0,1.0,0.0,2.0,2.0,0.0,1.0,7.0
561,-6_-16_22,48.837216782571495,2.3427015917423493,3411,-6,-16,22,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0
562,-7_-16_23,48.836704066323385,2.3413518570327403,3536,-7,-16,23,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
563,-8_-16_24,48.83619135007528,2.340002122323132,3666,-8,-16,24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
564,-9_-16_25,48.83567863382715,2.338652387613523,3798,-9,-16,25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
565,-10_-16_26,48.83516591757903,2.3373026529039143,3934,-10,-16,26,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
566,-11_-16_27,48.83465320133091,2.3359529181943057,4073,-11,-16,27,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0
567,-12_-16_28,48.83414048508279,2.3346031834846968,4214,-12,-16,28,1.0,1.0,1.0,4.0,2.0,1.0,0.0,10.0
568,-13_-16_29,48.83362776883467,2.3332534487750887,4357,-13,-16,29,1.0,2.0,3.0,6.0,3.0,1.0,1.0,17.0
569,-14_-16_30,48.833115052586564,2.33190371406548,4503,-14,-16,30,1.0,2.0,3.0,5.0,3.0,1.0,2.0,17.0
570,30_-15_-15,48.8567,2.391292041288257,4499,30,-15,-15,1.0,1.0,4.0,1.0,0.0,0.0,0.0,7.0
571,29_-15_-14,48.85618728375188,2.3899423065786483,4350,29,-15,-14,1.0,3.0,1.0,2.0,2.0,0.0,0.0,9.0
572,28_-15_-13,48.855674567503755,2.38859257186904,4203,28,-15,-13,1.0,3.0,2.0,5.0,3.0,0.0,0.0,14.0
573,27_-15_-12,48.855161851255644,2.387242837159431,4058,27,-15,-12,1.0,4.0,3.0,5.0,5.0,1.0,0.0,19.0
574,26_-15_-11,48.85464913500754,2.3858931024498227,3915,26,-15,-11,1.0,6.0,5.0,5.0,6.0,1.0,1.0,25.0
575,25_-15_-10,48.854136418759396,2.3845433677402137,3774,25,-15,-10,1.0,5.0,8.0,8.0,6.0,3.0,2.0,33.0
576,24_-15_-9,48.85362370251129,2.3831936330306056,3637,24,-15,-9,1.0,5.0,8.0,6.0,7.0,4.0,3.0,34.0
577,23_-15_-8,48.85311098626317,2.381843898320997,3502,23,-15,-8,1.0,4.0,7.0,5.0,5.0,5.0,3.0,30.0
578,22_-15_-7,48.85259827001505,2.3804941636113885,3371,22,-15,-7,1.0,3.0,9.0,4.0,9.0,5.0,2.0,33.0
579,21_-15_-6,48.852085553766926,2.37914442890178,3244,21,-15,-6,1.0,5.0,9.0,11.0,11.0,5.0,1.0,43.0
580,20_-15_-5,48.851572837518816,2.3777946941921715,3122,20,-15,-5,1.0,4.0,10.0,12.0,9.0,4.0,0.0,40.0
581,19_-15_-4,48.85106012127071,2.376444959482563,3004,19,-15,-4,1.0,4.0,13.0,12.0,12.0,3.0,0.0,45.0
582,18_-15_-3,48.850547405022574,2.375095224772954,2893,18,-15,-3,1.0,4.0,8.0,4.0,5.0,0.0,0.0,22.0
583,17_-15_-2,48.850034688774464,2.373745490063345,2787,17,-15,-2,1.0,2.0,4.0,5.0,3.0,0.0,0.0,15.0
584,16_-15_-1,48.84952197252634,2.372395755353737,2688,16,-15,-1,1.0,1.0,4.0,3.0,3.0,0.0,0.0,12.0
585,15_-15_0,48.84900925627822,2.3710460206441284,2598,15,-15,0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,8.0
586,14_-15_1,48.8484965400301,2.36969628593452,2515,14,-15,1,1.0,1.0,7.0,3.0,2.0,1.0,2.0,17.0
587,13_-15_2,48.847983823781995,2.368346551224912,2443,13,-15,2,1.0,0.0,5.0,3.0,2.0,1.0,1.0,13.0
588,12_-15_3,48.847471107533856,2.3669968165153032,2381,12,-15,3,1.0,0.0,3.0,2.0,2.0,0.0,1.0,9.0
589,11_-15_4,48.84695839128575,2.3656470818056943,2330,11,-15,4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0
590,10_-15_5,48.84644567503763,2.3642973470960857,2291,10,-15,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
591,9_-15_6,48.84593295878951,2.362947612386477,2264,9,-15,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
592,8_-15_7,48.84542024254139,2.3615978776768687,2251,8,-15,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
593,7_-15_8,48.84490752629328,2.36024814296726,2251,7,-15,8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
594,6_-15_9,48.84439481004516,2.3588984082576507,2264,6,-15,9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
595,5_-15_10,48.843882093797035,2.3575486735480427,2291,5,-15,10,1.0,0.0,3.0,4.0,0.0,0.0,0.0,8.0
596,4_-15_11,48.84336937754893,2.356198938838434,2330,4,-15,11,1.0,0.0,4.0,4.0,0.0,2.0,0.0,11.0
597,3_-15_12,48.84285666130079,2.3548492041288256,2381,3,-15,12,1.0,1.0,4.0,5.0,0.0,3.0,0.0,14.0
598,2_-15_13,48.84234394505268,2.3534994694192166,2443,2,-15,13,1.0,1.0,3.0,1.0,0.0,3.0,0.0,9.0
599,1_-15_14,48.84183122880457,2.3521497347096085,2515,1,-15,14,1.0,3.0,5.0,8.0,2.0,3.0,1.0,23.0
600,0_-15_15,48.841318512556455,2.3508,2598,0,-15,15,1.0,2.0,3.0,5.0,4.0,2.0,3.0,20.0
601,-1_-15_16,48.84080579630832,2.3494502652903915,2688,-1,-15,16,1.0,2.0,3.0,7.0,4.0,1.0,2.0,20.0
602,-2_-15_17,48.84029308006021,2.3481005305807834,2787,-2,-15,17,1.0,1.0,2.0,7.0,0.0,1.0,1.0,13.0
603,-3_-15_18,48.8397803638121,2.3467507958711744,2893,-3,-15,18,1.0,1.0,3.0,4.0,0.0,1.0,1.0,11.0
604,-4_-15_19,48.83926764756397,2.345401061161566,3004,-4,-15,19,1.0,1.0,4.0,2.0,2.0,0.0,1.0,11.0
605,-5_-15_20,48.83875493131586,2.3440513264519574,3122,-5,-15,20,1.0,1.0,1.0,1.0,2.0,0.0,1.0,7.0
606,-6_-15_21,48.83824221506774,2.3427015917423493,3244,-6,-15,21,1.0,1.0,0.0,1.0,2.0,0.0,0.0,5.0
607,-7_-15_22,48.83772949881962,2.3413518570327403,3371,-7,-15,22,1.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0
608,-8_-15_23,48.837216782571495,2.340002122323132,3502,-8,-15,23,1.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0
609,-9_-15_24,48.836704066323385,2.338652387613523,3637,-9,-15,24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
610,-10_-15_25,48.83619135007528,2.3373026529039143,3774,-10,-15,25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
611,-11_-15_26,48.83567863382715,2.3359529181943057,3915,-11,-15,26,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0
612,-12_-15_27,48.83516591757903,2.3346031834846968,4058,-12,-15,27,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0
613,-13_-15_28,48.83465320133091,2.3332534487750887,4203,-13,-15,28,1.0,2.0,3.0,4.0,2.0,1.0,0.0,13.0
614,-14_-15_29,48.83414048508279,2.33190371406548,4350,-14,-15,29,1.0,2.0,4.0,5.0,3.0,1.0,2.0,18.0
615,-15_-15_30,48.83362776883467,2.330553979355872,4500,-15,-15,30,1.0,3.0,6.0,5.0,3.0,1.0,3.0,22.0
616,30_-14_-16,48.857725432496224,2.391292041288257,4503,30,-14,-16,1.0,2.0,3.0,1.0,1.0,0.0,0.0,8.0
617,29_-14_-15,48.857212716248114,2.3899423065786483,4350,29,-14,-15,1.0,2.0,2.0,1.0,1.0,0.0,0.0,7.0
618,28_-14_-14,48.8567,2.38859257186904,4199,28,-14,-14,1.0,3.0,3.0,3.0,2.0,0.0,0.0,12.0
619,27_-14_-13,48.85618728375188,2.387242837159431,4050,27,-14,-13,1.0,3.0,3.0,3.0,5.0,0.0,0.0,15.0
620,26_-14_-12,48.855674567503755,2.3858931024498227,3903,26,-14,-12,1.0,4.0,3.0,5.0,5.0,1.0,0.0,19.0
621,25_-14_-11,48.855161851255644,2.3845433677402137,3758,25,-14,-11,1.0,4.0,5.0,5.0,6.0,2.0,0.0,23.0
622,24_-14_-10,48.85464913500754,2.3831936330306056,3616,24,-14,-10,1.0,2.0,5.0,6.0,6.0,3.0,1.0,24.0
623,23_-14_-9,48.854136418759396,2.381843898320997,3477,23,-14,-9,1.0,4.0,4.0,4.0,4.0,3.0,2.0,22.0
624,22_-14_-8,48.85362370251129,2.3804941636113885,3340,22,-14,-8,1.0,3.0,4.0,3.0,4.0,2.0,2.0,19.0
625,21_-14_-7,48.85311098626317,2.37914442890178,3207,21,-14,-7,1.0,3.0,5.0,6.0,7.0,4.0,1.0,27.0
626,20_-14_-6,48.85259827001505,2.3777946941921715,3078,20,-14,-6,1.0,3.0,6.0,10.0,8.0,3.0,1.0,32.0
627,19_-14_-5,48.852085553766926,2.376444959482563,2954,19,-14,-5,1.0,3.0,12.0,8.0,8.0,2.0,0.0,34.0
628,18_-14_-4,48.851572837518816,2.375095224772954,2835,18,-14,-4,1.0,3.0,7.0,6.0,8.0,1.0,0.0,26.0
629,17_-14_-3,48.85106012127071,2.373745490063345,2722,17,-14,-3,1.0,2.0,5.0,4.0,3.0,0.0,0.0,15.0
630,16_-14_-2,48.850547405022574,2.372395755353737,2615,16,-14,-2,1.0,2.0,3.0,2.0,1.0,0.0,0.0,9.0
631,15_-14_-1,48.850034688774464,2.3710460206441284,2515,15,-14,-1,1.0,1.0,4.0,2.0,2.0,0.0,0.0,10.0
632,14_-14_0,48.84952197252634,2.36969628593452,2424,14,-14,0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,6.0
633,13_-14_1,48.84900925627822,2.368346551224912,2343,13,-14,1,1.0,0.0,4.0,2.0,2.0,1.0,0.0,10.0
634,12_-14_2,48.8484965400301,2.3669968165153032,2271,12,-14,2,1.0,0.0,3.0,1.0,1.0,0.0,0.0,6.0
635,11_-14_3,48.847983823781995,2.3656470818056943,2211,11,-14,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
636,10_-14_4,48.847471107533856,2.3642973470960857,2163,10,-14,4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
637,9_-14_5,48.84695839128575,2.362947612386477,2128,9,-14,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
638,8_-14_6,48.84644567503763,2.3615978776768687,2107,8,-14,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
639,7_-14_7,48.84593295878951,2.36024814296726,2100,7,-14,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
640,6_-14_8,48.84542024254139,2.3588984082576507,2107,6,-14,8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
641,5_-14_9,48.84490752629328,2.3575486735480427,2128,5,-14,9,1.0,0.0,3.0,4.0,0.0,0.0,0.0,8.0
642,4_-14_10,48.84439481004516,2.356198938838434,2163,4,-14,10,1.0,0.0,3.0,4.0,1.0,1.0,0.0,10.0
643,3_-14_11,48.843882093797035,2.3548492041288256,2211,3,-14,11,1.0,0.0,4.0,5.0,1.0,2.0,0.0,13.0
644,2_-14_12,48.84336937754893,2.3534994694192166,2271,2,-14,12,1.0,1.0,6.0,5.0,0.0,3.0,0.0,16.0
645,1_-14_13,48.84285666130079,2.3521497347096085,2343,1,-14,13,1.0,4.0,6.0,4.0,4.0,2.0,5.0,26.0
646,0_-14_14,48.84234394505268,2.3508,2424,0,-14,14,1.0,2.0,2.0,3.0,5.0,2.0,2.0,17.0
647,-1_-14_15,48.84183122880457,2.3494502652903915,2515,-1,-14,15,1.0,3.0,2.0,4.0,5.0,2.0,2.0,19.0
648,-2_-14_16,48.841318512556455,2.3481005305807834,2615,-2,-14,16,1.0,1.0,2.0,4.0,5.0,1.0,2.0,16.0
649,-3_-14_17,48.84080579630832,2.3467507958711744,2722,-3,-14,17,1.0,1.0,1.0,2.0,1.0,1.0,0.0,7.0
650,-4_-14_18,48.84029308006021,2.345401061161566,2835,-4,-14,18,1.0,0.0,2.0,2.0,1.0,0.0,0.0,6.0
651,-5_-14_19,48.8397803638121,2.3440513264519574,2954,-5,-14,19,1.0,1.0,2.0,2.0,1.0,0.0,0.0,7.0
652,-6_-14_20,48.83926764756397,2.3427015917423493,3078,-6,-14,20,1.0,1.0,2.0,1.0,1.0,0.0,0.0,6.0
653,-7_-14_21,48.83875493131586,2.3413518570327403,3207,-7,-14,21,1.0,1.0,0.0,2.0,2.0,0.0,0.0,6.0
654,-8_-14_22,48.83824221506774,2.340002122323132,3340,-8,-14,22,1.0,1.0,1.0,4.0,2.0,0.0,0.0,9.0
655,-9_-14_23,48.83772949881962,2.338652387613523,3477,-9,-14,23,1.0,0.0,2.0,5.0,2.0,0.0,0.0,10.0
656,-10_-14_24,48.837216782571495,2.3373026529039143,3616,-10,-14,24,1.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0
657,-11_-14_25,48.836704066323385,2.3359529181943057,3758,-11,-14,25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0
658,-12_-14_26,48.83619135007528,2.3346031834846968,3903,-12,-14,26,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
659,-13_-14_27,48.83567863382715,2.3332534487750887,4050,-13,-14,27,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
660,-14_-14_28,48.83516591757903,2.33190371406548,4199,-14,-14,28,1.0,2.0,4.0,5.0,2.0,1.0,2.0,17.0
661,-15_-14_29,48.83465320133091,2.330553979355872,4350,-15,-14,29,1.0,4.0,7.0,5.0,2.0,1.0,3.0,23.0
662,-16_-14_30,48.83414048508279,2.329204244646263,4503,-16,-14,30,1.0,5.0,9.0,4.0,3.0,2.0,3.0,27.0
663,30_-13_-17,48.858750864992466,2.391292041288257,4513,30,-13,-17,1.0,1.0,2.0,2.0,1.0,0.0,0.0,7.0
664,29_-13_-16,48.85823814874436,2.3899423065786483,4357,29,-13,-16,1.0,1.0,2.0,2.0,1.0,0.0,0.0,7.0
665,28_-13_-15,48.857725432496224,2.38859257186904,4203,28,-13,-15,1.0,2.0,4.0,2.0,1.0,0.0,0.0,10.0
666,27_-13_-14,48.857212716248114,2.387242837159431,4050,27,-13,-14,1.0,4.0,4.0,2.0,2.0,0.0,0.0,13.0
667,26_-13_-13,48.8567,2.3858931024498227,3899,26,-13,-13,1.0,3.0,3.0,2.0,5.0,0.0,0.0,14.0
668,25_-13_-12,48.85618728375188,2.3845433677402137,3750,25,-13,-12,1.0,3.0,3.0,4.0,5.0,0.0,1.0,17.0
669,24_-13_-11,48.855674567503755,2.3831936330306056,3604,24,-13,-11,1.0,3.0,4.0,5.0,4.0,1.0,1.0,19.0
670,23_-13_-10,48.855161851255644,2.381843898320997,3459,23,-13,-10,1.0,6.0,5.0,6.0,6.0,2.0,2.0,28.0
671,22_-13_-9,48.85464913500754,2.3804941636113885,3318,22,-13,-9,1.0,4.0,4.0,4.0,4.0,2.0,1.0,20.0
672,21_-13_-8,48.854136418759396,2.37914442890178,3179,21,-13,-8,1.0,3.0,4.0,6.0,5.0,2.0,1.0,22.0
673,20_-13_-7,48.85362370251129,2.3777946941921715,3044,20,-13,-7,1.0,4.0,5.0,8.0,8.0,3.0,1.0,30.0
674,19_-13_-6,48.85311098626317,2.376444959482563,2913,19,-13,-6,1.0,3.0,8.0,7.0,9.0,2.0,0.0,30.0
675,18_-13_-5,48.85259827001505,2.375095224772954,2787,18,-13,-5,1.0,4.0,5.0,6.0,9.0,0.0,0.0,25.0
676,17_-13_-4,48.852085553766926,2.373745490063345,2666,17,-13,-4,1.0,2.0,4.0,4.0,8.0,0.0,0.0,19.0
677,16_-13_-3,48.851572837518816,2.372395755353737,2551,16,-13,-3,1.0,2.0,4.0,3.0,5.0,0.0,0.0,15.0
678,15_-13_-2,48.85106012127071,2.3710460206441284,2443,15,-13,-2,1.0,1.0,4.0,3.0,2.0,0.0,0.0,11.0
679,14_-13_-1,48.850547405022574,2.36969628593452,2343,14,-13,-1,1.0,1.0,2.0,2.0,1.0,0.0,0.0,7.0
680,13_-13_0,48.850034688774464,2.368346551224912,2251,13,-13,0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,7.0
681,12_-13_1,48.84952197252634,2.3669968165153032,2170,12,-13,1,1.0,0.0,3.0,1.0,1.0,0.0,0.0,6.0
682,11_-13_2,48.84900925627822,2.3656470818056943,2100,11,-13,2,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
683,10_-13_3,48.8484965400301,2.3642973470960857,2042,10,-13,3,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
684,9_-13_4,48.847983823781995,2.362947612386477,1997,9,-13,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
685,8_-13_5,48.847471107533856,2.3615978776768687,1967,8,-13,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
686,7_-13_6,48.84695839128575,2.36024814296726,1951,7,-13,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
687,6_-13_7,48.84644567503763,2.3588984082576507,1951,6,-13,7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
688,5_-13_8,48.84593295878951,2.3575486735480427,1967,5,-13,8,1.0,0.0,1.0,4.0,0.0,0.0,0.0,6.0
689,4_-13_9,48.84542024254139,2.356198938838434,1997,4,-13,9,1.0,0.0,4.0,4.0,1.0,0.0,0.0,10.0
690,3_-13_10,48.84490752629328,2.3548492041288256,2042,3,-13,10,1.0,0.0,7.0,5.0,1.0,1.0,0.0,15.0
691,2_-13_11,48.84439481004516,2.3534994694192166,2099,2,-13,11,1.0,0.0,5.0,6.0,1.0,2.0,0.0,15.0
692,1_-13_12,48.843882093797035,2.3521497347096085,2170,1,-13,12,1.0,5.0,10.0,9.0,4.0,2.0,6.0,37.0
693,0_-13_13,48.84336937754893,2.3508,2251,0,-13,13,1.0,6.0,12.0,8.0,11.0,3.0,6.0,47.0
694,-1_-13_14,48.84285666130079,2.3494502652903915,2343,-1,-13,14,1.0,4.0,4.0,5.0,5.0,1.0,3.0,23.0
695,-2_-13_15,48.84234394505268,2.3481005305807834,2443,-2,-13,15,1.0,2.0,2.0,3.0,5.0,0.0,2.0,15.0
696,-3_-13_16,48.84183122880457,2.3467507958711744,2551,-3,-13,16,1.0,0.0,2.0,2.0,5.0,0.0,2.0,12.0
697,-4_-13_17,48.841318512556455,2.345401061161566,2666,-4,-13,17,1.0,0.0,3.0,2.0,1.0,0.0,0.0,7.0
698,-5_-13_18,48.84080579630832,2.3440513264519574,2787,-5,-13,18,1.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0
699,-6_-13_19,48.84029308006021,2.3427015917423493,2913,-6,-13,19,1.0,1.0,3.0,1.0,1.0,0.0,0.0,7.0
700,-7_-13_20,48.8397803638121,2.3413518570327403,3044,-7,-13,20,1.0,1.0,1.0,2.0,2.0,0.0,0.0,7.0
701,-8_-13_21,48.83926764756397,2.340002122323132,3179,-8,-13,21,1.0,1.0,2.0,4.0,2.0,0.0,0.0,10.0
702,-9_-13_22,48.83875493131586,2.338652387613523,3318,-9,-13,22,1.0,1.0,3.0,5.0,2.0,0.0,0.0,12.0
703,-10_-13_23,48.83824221506774,2.3373026529039143,3459,-10,-13,23,1.0,0.0,3.0,5.0,2.0,0.0,0.0,11.0
704,-11_-13_24,48.83772949881962,2.3359529181943057,3604,-11,-13,24,1.0,0.0,3.0,3.0,1.0,0.0,0.0,8.0
705,-12_-13_25,48.837216782571495,2.3346031834846968,3750,-12,-13,25,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
706,-13_-13_26,48.836704066323385,2.3332534487750887,3899,-13,-13,26,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
707,-14_-13_27,48.83619135007528,2.33190371406548,4050,-14,-13,27,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
708,-15_-13_28,48.83567863382715,2.330553979355872,4203,-15,-13,28,1.0,4.0,6.0,2.0,1.0,0.0,2.0,16.0
709,-16_-13_29,48.83516591757903,2.329204244646263,4357,-16,-13,29,1.0,5.0,8.0,5.0,3.0,1.0,3.0,26.0
710,-17_-13_30,48.83465320133091,2.3278545099366545,4513,-17,-13,30,1.0,3.0,7.0,2.0,3.0,2.0,3.0,21.0
711,30_-12_-18,48.85977629748871,2.391292041288257,4529,30,-12,-18,1.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0
712,29_-12_-17,48.859263581240604,2.3899423065786483,4371,29,-12,-17,1.0,2.0,3.0,2.0,1.0,0.0,0.0,9.0
713,28_-12_-16,48.858750864992466,2.38859257186904,4214,28,-12,-16,1.0,2.0,4.0,2.0,1.0,0.0,0.0,10.0
714,27_-12_-15,48.85823814874436,2.387242837159431,4058,27,-12,-15,1.0,2.0,4.0,2.0,1.0,0.0,0.0,10.0
715,26_-12_-14,48.857725432496224,2.3858931024498227,3903,26,-12,-14,1.0,3.0,5.0,2.0,0.0,0.0,0.0,11.0
716,25_-12_-13,48.857212716248114,2.3845433677402137,3750,25,-12,-13,1.0,1.0,4.0,4.0,3.0,0.0,1.0,14.0
717,24_-12_-12,48.8567,2.3831936330306056,3600,24,-12,-12,1.0,3.0,6.0,6.0,2.0,0.0,1.0,19.0
718,23_-12_-11,48.85618728375188,2.381843898320997,3451,23,-12,-11,1.0,5.0,7.0,4.0,4.0,1.0,1.0,23.0
719,22_-12_-10,48.855674567503755,2.3804941636113885,3304,22,-12,-10,1.0,5.0,8.0,8.0,6.0,2.0,2.0,32.0
720,21_-12_-9,48.855161851255644,2.37914442890178,3160,21,-12,-9,1.0,6.0,10.0,7.0,5.0,2.0,1.0,32.0
721,20_-12_-8,48.85464913500754,2.3777946941921715,3019,20,-12,-8,1.0,5.0,10.0,10.0,10.0,3.0,1.0,40.0
722,19_-12_-7,48.854136418759396,2.376444959482563,2882,19,-12,-7,1.0,4.0,8.0,8.0,11.0,2.0,0.0,34.0
723,18_-12_-6,48.85362370251129,2.375095224772954,2749,18,-12,-6,1.0,4.0,8.0,8.0,13.0,2.0,0.0,36.0
724,17_-12_-5,48.85311098626317,2.373745490063345,2621,17,-12,-5,1.0,6.0,6.0,11.0,11.0,0.0,0.0,35.0
725,16_-12_-4,48.85259827001505,2.372395755353737,2497,16,-12,-4,1.0,4.0,4.0,5.0,5.0,0.0,1.0,20.0
726,15_-12_-3,48.852085553766926,2.3710460206441284,2381,15,-12,-3,1.0,3.0,2.0,3.0,4.0,0.0,1.0,14.0
727,14_-12_-2,48.851572837518816,2.36969628593452,2271,14,-12,-2,1.0,1.0,2.0,3.0,1.0,0.0,1.0,9.0
728,13_-12_-1,48.85106012127071,2.368346551224912,2170,13,-12,-1,1.0,1.0,2.0,1.0,2.0,0.0,0.0,7.0
729,12_-12_0,48.850547405022574,2.3669968165153032,2078,12,-12,0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,7.0
730,11_-12_1,48.850034688774464,2.3656470818056943,1997,11,-12,1,1.0,0.0,3.0,1.0,2.0,1.0,0.0,8.0
731,10_-12_2,48.84952197252634,2.3642973470960857,1928,10,-12,2,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
732,9_-12_3,48.84900925627822,2.362947612386477,1873,9,-12,3,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
733,8_-12_4,48.8484965400301,2.3615978776768687,1833,8,-12,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
734,7_-12_5,48.847983823781995,2.36024814296726,1808,7,-12,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
735,6_-12_6,48.847471107533856,2.3588984082576507,1799,6,-12,6,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
736,5_-12_7,48.84695839128575,2.3575486735480427,1808,5,-12,7,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0
737,4_-12_8,48.84644567503763,2.356198938838434,1833,4,-12,8,1.0,0.0,4.0,4.0,1.0,0.0,0.0,10.0
